lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
0.0,0,,,,,,,,,,,,,,,
,4,0.6745853424072266,0.7541835308074951,0.7252851724624634,0.7155513763427734,0.7597478032112122,0.7627370953559875,0.732015073299408,0,,,,,,,
,4,,,,,,,,0,0.6923506259918213,0.7462669610977173,0.7265545129776001,0.6931291222572327,0.7727652192115784,0.7131869792938232,0.7240422964096069
5.0000000000000004e-08,5,,,,,,,,,,,,,,,
,9,0.6974276900291443,0.7095422148704529,0.7151284217834473,0.7288833856582642,0.7857692837715149,0.719784677028656,0.7260892391204834,1,,,,,,,
,9,,,,,,,,1,0.6660103797912598,0.7454734444618225,0.7189074158668518,0.7062520980834961,0.767593502998352,0.732160747051239,0.7227329611778259
1.0000000000000001e-07,10,,,,,,,,,,,,,,,
,14,0.707353413105011,0.7238036394119263,0.7143971920013428,0.686699628829956,0.7257526516914368,0.7102961540222168,0.7113838195800781,2,,,,,,,
,14,,,,,,,,2,0.6806122064590454,0.7471938133239746,0.6960639953613281,0.6804057955741882,0.7633551955223083,0.7264020442962646,0.7156721949577332
1.5000000000000002e-07,15,,,,,,,,,,,,,,,
,19,0.6870580911636353,0.7452642321586609,0.7285756468772888,0.6866105198860168,0.7428659796714783,0.723811149597168,0.7190309762954712,3,,,,,,,
,19,,,,,,,,3,0.6841417551040649,0.7612978219985962,0.7129876613616943,0.7071959972381592,0.7707732915878296,0.7298828959465027,0.7277132868766785
2.0000000000000002e-07,20,,,,,,,,,,,,,,,
,24,0.6608403325080872,0.7517771124839783,0.7084863185882568,0.7030285596847534,0.7656984329223633,0.7356955409049988,0.7209210395812988,4,,,,,,,
,24,,,,,,,,4,0.6812180280685425,0.7441797256469727,0.7091857194900513,0.6890383362770081,0.7513442039489746,0.7087329626083374,0.7139498591423035
2.5000000000000004e-07,25,,,,,,,,,,,,,,,
,29,0.673176646232605,0.7265076041221619,0.7181262969970703,0.7047667503356934,0.7106040120124817,0.7209337949752808,0.7090191841125488,5,,,,,,,
,29,,,,,,,,5,0.6703397631645203,0.7412335276603699,0.7053822875022888,0.716461718082428,0.7672134637832642,0.6973647475242615,0.7163326144218445
3.0000000000000004e-07,30,,,,,,,,,,,,,,,
,34,0.6812936663627625,0.7190651893615723,0.7352762222290039,0.6997634172439575,0.7459157109260559,0.7201440930366516,0.7169097661972046,6,,,,,,,
,34,,,,,,,,6,0.6697059273719788,0.7336275577545166,0.7090333104133606,0.6721615195274353,0.746322512626648,0.7100303173065186,0.7068135142326355
3.5000000000000004e-07,35,,,,,,,,,,,,,,,
,39,0.6644924879074097,0.7535483837127686,0.7247627377510071,0.7221347689628601,0.7394863367080688,0.6803328990936279,0.7141262888908386,7,,,,,,,
,39,,,,,,,,7,0.6603494882583618,0.7363535761833191,0.7144893407821655,0.686971127986908,0.7296029925346375,0.6877569556236267,0.7025873064994812
4.0000000000000003e-07,40,,,,,,,,,,,,,,,
,44,0.6925927996635437,0.7497037053108215,0.7124515175819397,0.679213285446167,0.7452782392501831,0.6856741905212402,0.7108189463615417,8,,,,,,,
,44,,,,,,,,8,0.6736297607421875,0.7453534007072449,0.7017371654510498,0.6977164149284363,0.7430800199508667,0.6969233751296997,0.7097400426864624
4.5e-07,45,,,,,,,,,,,,,,,
,49,0.6806797981262207,0.7617065906524658,0.700512707233429,0.7117757797241211,0.7641733884811401,0.6864945292472839,0.7175571322441101,9,,,,,,,
,49,,,,,,,,9,0.67537522315979,0.7287110090255737,0.69194495677948,0.6789769530296326,0.7206575870513916,0.7209945321083069,0.7027767896652222
5.000000000000001e-07,50,,,,,,,,,,,,,,,
,54,0.6837260723114014,0.7308210134506226,0.710335373878479,0.6418288946151733,0.7164971232414246,0.6982570886611938,0.6969109773635864,10,,,,,,,
,54,,,,,,,,10,0.6706147193908691,0.7561168670654297,0.6865204572677612,0.6957648992538452,0.7095464468002319,0.687961995601654,0.7010876536369324
5.5e-07,55,,,,,,,,,,,,,,,
